Date,Open,High,Low,Close,Adj Close,Volume_M
5/16/2012,307.826202,313.873535,306.819977,627.208008,313.29071,9.7063
5/17/2012,315.731567,317.73407,309.455078,621.344116,310.361694,6.7327
5/18/2012,311.382874,315.029205,297.235901,598.756165,299.078979,11.9917
5/21/2012,299.133759,306.695435,298.87973,612.428589,305.908386,6.1738
5/22/2012,305.574646,305.758942,296.887207,599.155029,299.278229,6.1266
5/23/2012,299.70163,303.661804,297.445099,607.791382,303.592072,6.3799
5/24/2012,303.442627,304.817474,298.316833,602.007202,300.702881,3.7966
5/25/2012,299.377869,299.741486,293.041595,589.910461,294.660553,7.1905
5/29/2012,296.792542,298.44635,293.061523,592.712769,296.060303,5.2309
5/30/2012,292.981842,294.844849,290.675476,586.619446,293.016693,3.8276
5/31/2012,293.260773,293.898407,288.418945,579.269653,289.345459,5.9588
6/1/2012,284.827393,285.255798,283.113831,569.416687,284.42392,6.1387
6/4/2012,284.045319,289.161163,283.940735,577.005859,288.214691,4.8835
6/5/2012,286.650574,287.985565,282.177338,568.848267,284.139984,4.6972
6/6/2012,287.163635,289.898376,285.734009,578.980408,289.200989,4.2072
6/7/2012,292.702881,292.847351,287.547211,576.646851,288.03537,3.5301
6/8/2012,286.849823,289.415192,286.217194,578.860779,289.141235,2.8313
6/11/2012,291.014221,291.567139,282.286926,566.943481,283.188538,5.3421
6/12/2012,283.821167,284.085175,278.24707,563.552734,281.494873,6.4725
6/13/2012,279.811188,282.441345,278.296875,559.553772,279.497375,3.923
6/14/2012,279.60199,281.47995,277.220917,557.519348,278.481171,4.7072
6/15/2012,279.123779,281.205963,277.504852,562.964417,281.200989,6.0248
6/18/2012,280.259521,286.032867,278.580811,569.287048,284.359161,5.0124
6/19/2012,285.72403,291.049072,285.489899,579.937805,289.679199,4.1679
6/20/2012,288.822418,288.917053,285.684174,575.928833,287.676727,4.7108
6/21/2012,288.837372,288.837372,280.812439,563.662476,281.549683,4.0376
6/22/2012,282.939484,284.672974,281.853546,569.915344,284.672974,4.4724
6/25/2012,282.605713,282.984314,277.634369,559.164856,279.303101,3.1749
6/26/2012,280.329254,282.242096,278.695374,563.133972,281.285675,2.7105
6/27/2012,282.790039,285.923279,281.953156,567.741272,283.587036,3.3972
6/28/2012,281.893402,282.05777,277.564606,562.764954,281.101349,3.8561
6/29/2012,286.406464,288.981812,285.031647,578.481812,288.951935,5.0578
7/2/2012,289.823669,290.411469,287.173615,578.880676,289.151184,3.3233
7/3/2012,288.922058,293.106354,287.920807,586.22052,292.817444,2.3878
7/5/2012,293.280701,298.909607,293.171112,594.288452,296.847351,4.7092
7/6/2012,295.118835,295.651825,290.321808,584.37561,291.895905,4.3397
7/9/2012,291.382813,293.201019,289.539734,584.405579,291.910858,3.443
7/10/2012,293.993042,295.108856,288.289429,580.1073,289.763885,3.8605
7/11/2012,287.073975,287.846069,281.415192,569.626099,284.528503,7.0247
7/12/2012,282.501129,284.897125,279.995514,568.91803,284.174835,4.6368
7/13/2012,285.006714,288.493652,283.21344,574.941528,287.183563,3.9667
7/16/2012,287.108856,288.51358,284.822418,573.345947,286.386566,2.9361
7/17/2012,288.13501,289.250824,283.138733,575.15094,287.288177,3.3727
7/18/2012,287.41272,290.755188,286.989288,579.169922,289.295654,3.1079
7/19/2012,291.975616,298.122559,291.905853,591.436218,295.422668,9.3843
7/20/2012,303.243378,305.325562,297.973114,609.147644,304.269531,12.9758
7/23/2012,299.118835,308.020477,298.007996,613.824768,306.605774,7.15
7/24/2012,306.351715,307.811249,301.041626,605.906555,302.650604,4.0338
7/25/2012,303.0242,305.544739,301.554688,606.325378,302.859802,3.6596
7/26/2012,306.351715,307.283234,303.876007,611.680664,305.53479,3.3829
7/27/2012,308.289459,316.314362,307.597046,633.221558,316.294464,7.1259
7/30/2012,316.837402,320.100189,313.574646,630.568787,314.969421,4.3897
7/31/2012,312.95697,317.061584,312.937042,631.236938,315.303162,3.7451
8/1/2012,317.460083,318.560944,314.511139,630.947815,315.158722,3.7029
